,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative
0,41,1,1102,0,1,2,2,0,94,3,2,4,0,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,True,1,0,0,0,0,0,0,0,0,0,0,1,0
1,49,2,279,1,8,1,3,1,61,2,2,2,1,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,False,1,0,0,0,0,0,0,0,0,0,1,0,0
2,37,1,1373,1,2,2,4,1,92,2,1,3,0,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,True,0,0,0,1,0,0,1,0,0,0,0,0,0
3,33,2,1392,1,3,4,4,0,56,3,1,3,1,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,False,1,0,0,0,0,0,0,0,0,0,1,0,0
4,27,1,591,1,2,1,1,1,40,3,1,2,1,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,False,0,0,1,0,0,0,1,0,0,0,0,0,0
5,32,2,1005,1,2,2,4,1,79,3,1,4,0,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,False,1,0,0,0,0,0,1,0,0,0,0,0,0
6,59,1,1324,1,3,3,3,0,81,4,1,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,False,0,0,1,0,0,0,1,0,0,0,0,0,0
7,30,1,1358,1,24,1,4,1,67,3,1,3,2,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,False,1,0,0,0,0,0,1,0,0,0,0,0,0
8,38,2,216,1,23,3,4,1,44,2,3,3,0,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,False,1,0,0,0,0,0,0,0,1,0,0,0,0
9,36,1,1299,1,27,3,3,1,94,3,2,3,1,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,False,0,0,1,0,0,0,0,0,0,0,0,0,0
